dataset_name,model,query_strategy,balance_strategy,feature_extraction,n_instances,wss95,wss100,rrf5,rrf10,loss,n_states
output/simulation/Distal_radius_fractures_approach_expert_inclusion/state_files/state_Distal_radius_fractures_approach_expert_inclusion_0.h5,nb,max,double,tfidf,1,53.80434782608696,53.80434782608696,40.0,40.0,0.19076923076923077,1
output/simulation/Distal_radius_fractures_approach_expert_inclusion/state_files/state_Distal_radius_fractures_approach_expert_inclusion_23.h5,nb,max,double,tfidf,1,64.13043478260869,64.13043478260869,0.0,20.0,0.21025641025641026,1
output/simulation/Distal_radius_fractures_approach_expert_inclusion/state_files/state_Distal_radius_fractures_approach_expert_inclusion_42.h5,nb,max,double,tfidf,1,51.630434782608695,51.630434782608695,20.0,40.0,0.19794871794871793,1
output/simulation/Distal_radius_fractures_approach_expert_inclusion/state_files/state_Distal_radius_fractures_approach_expert_inclusion_57.h5,nb,max,double,tfidf,1,61.95652173913044,61.95652173913044,0.0,0.0,0.24,1
output/simulation/Distal_radius_fractures_approach_expert_inclusion/state_files/state_Distal_radius_fractures_approach_expert_inclusion_159.h5,nb,max,double,tfidf,1,58.69565217391305,58.69565217391305,20.0,40.0,0.18974358974358974,1
output/simulation/Distal_radius_fractures_approach_expert_inclusion/state_files/state_Distal_radius_fractures_approach_expert_inclusion_160.h5,nb,max,double,tfidf,1,55.97826086956522,55.97826086956522,40.0,40.0,0.18974358974358974,1
output/simulation/Distal_radius_fractures_approach_fulltext_inclusion/state_files/state_Distal_radius_fractures_approach_fulltext_inclusion_0.h5,nb,max,double,tfidf,1,60.32608695652174,60.32608695652174,25.0,25.0,0.21666666666666667,1
output/simulation/Distal_radius_fractures_approach_fulltext_inclusion/state_files/state_Distal_radius_fractures_approach_fulltext_inclusion_23.h5,nb,max,double,tfidf,1,63.04347826086957,63.04347826086957,0.0,25.0,0.2205128205128205,1
output/simulation/Distal_radius_fractures_approach_fulltext_inclusion/state_files/state_Distal_radius_fractures_approach_fulltext_inclusion_57.h5,nb,max,double,tfidf,1,62.5,62.5,0.0,0.0,0.23846153846153845,1
output/simulation/Distal_radius_fractures_approach_fulltext_inclusion/state_files/state_Distal_radius_fractures_approach_fulltext_inclusion_159.h5,nb,max,double,tfidf,1,58.15217391304348,58.15217391304348,0.0,25.0,0.26410256410256405,1
output/simulation/Distal_radius_fractures_approach_fulltext_inclusion/state_files/state_Distal_radius_fractures_approach_fulltext_inclusion_160.h5,nb,max,double,tfidf,1,63.04347826086957,63.04347826086957,25.0,25.0,0.22179487179487178,1
output/simulation/Distal_radius_fractures_approach_noisy_inclusion/state_files/state_Distal_radius_fractures_approach_noisy_inclusion_0.h5,nb,max,double,tfidf,1,32.065217391304344,32.065217391304344,30.0,30.0,0.23230769230769233,1
